RUN	com.performance.test.APITestingDemo	apitestingdemo	1645680472506	 	3.6.1
USER	Add to cart	START	1645680474487
USER	Add to cart	START	1645680474484
USER	Add to cart	START	1645680474487
USER	Add to cart	START	1645680474488
USER	Add to cart	START	1645680474484
USER	Add to cart	START	1645680474484
USER	Add to cart	START	1645680474484
USER	Add to cart	START	1645680474489
USER	Add to cart	START	1645680474500
USER	Add to cart	START	1645680474484
REQUEST		calling ToDo	1645680474618	1645680475048	OK	 
REQUEST		calling ToDo	1645680474618	1645680475041	OK	 
REQUEST		calling ToDo	1645680474619	1645680475039	OK	 
REQUEST		calling ToDo	1645680474618	1645680475007	OK	 
REQUEST		calling ToDo	1645680474618	1645680475049	OK	 
REQUEST		calling ToDo	1645680474618	1645680475039	OK	 
REQUEST		calling ToDo	1645680474625	1645680475047	OK	 
REQUEST		calling ToDo	1645680474618	1645680475041	OK	 
REQUEST		calling ToDo	1645680474626	1645680475058	OK	 
REQUEST		calling ToDo	1645680474625	1645680475041	OK	 
USER	Add to cart	END	1645680475201
USER	Add to cart	END	1645680475201
USER	Add to cart	END	1645680475201
USER	Add to cart	END	1645680475201
USER	Add to cart	END	1645680475201
USER	Add to cart	END	1645680475201
USER	Add to cart	END	1645680475202
USER	Add to cart	END	1645680475202
USER	Add to cart	END	1645680475203
USER	Add to cart	END	1645680475204
